Period,T0,Depth,Duration,R_star,R_star_error,M_star,M_star_error,T_star,T_star_error
3.471341,1976.8810000000522,0.006,0.1,0.587449,0.03,0.598864,0.06,3889.717773,50
2.199172, 0.3468024,0.001,0.1,0.587449,0.03,0.598864,0.06,3889.717773,50
