Period,T0,Depth,Duration,R_star,R_star_error,M_star,M_star_error,T_star,T_star_error
15.853989,2157.887740000151,0.005,0.3,0.874211,0.06,0.906739,0.03,5554.0,50
8.0507380,7.313128252092177,0.003,0.3,0.874211,0.06,0.906739,0.03,5554.0,50
